tag,layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.5,0,0,6,0,"[-0.0024081210140138865, -0.1379031389951706, -0.06300612539052963, -0.052526481449604034, -0.12400723993778229, -0.050276003777980804, -0.021183837205171585, -0.11711825430393219]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.550000011920929,0,0,6,0,"[-0.00255618360824883, -0.14383165538311005, -0.06497704982757568, -0.05356889218091965, -0.12923407554626465, -0.05134890601038933, -0.021699208766222, -0.12177211791276932]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.6000000238418579,0,0,6,0,"[-0.0027042466681450605, -0.1497601717710495, -0.06694796681404114, -0.05461130291223526, -0.1344609260559082, -0.05242180824279785, -0.022214580327272415, -0.12642596662044525]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.6500000357627869,0,0,6,0,"[-0.002852309262380004, -0.15568868815898895, -0.06891889125108719, -0.05565371364355087, -0.13968777656555176, -0.053494714200496674, -0.02272995188832283, -0.13107982277870178]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.699999988079071,0,0,6,0,"[-0.0030003723222762346, -0.1616172045469284, -0.07088980823755264, -0.05669612064957619, -0.14491461217403412, -0.0545676127076149, -0.023245321586728096, -0.1357336789369583]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.75,0,0,6,0,"[-0.003148434916511178, -0.16754572093486786, -0.0728607326745987, -0.0577385313808918, -0.15014144778251648, -0.05564051866531372, -0.02376069314777851, -0.14038753509521484]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.800000011920929,0,0,6,0,"[-0.0032964979764074087, -0.1734742373228073, -0.07483165711164474, -0.05878094211220741, -0.15536829829216003, -0.056713417172431946, -0.024276064708828926, -0.14504139125347137]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.8500000238418579,0,0,6,0,"[-0.0034445610363036394, -0.17940275371074677, -0.0768025740981102, -0.05982334911823273, -0.1605951488018036, -0.05778632313013077, -0.024791434407234192, -0.1496952474117279]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.9000000357627869,0,0,6,0,"[-0.003592623630538583, -0.18533127009868622, -0.07877349853515625, -0.06086575984954834, -0.16582199931144714, -0.05885922163724899, -0.025306805968284607, -0.15434911847114563]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,0.949999988079071,0,0,6,0,"[-0.003740686224773526, -0.19125977158546448, -0.0807444155216217, -0.06190817058086395, -0.1710488200187683, -0.059932127594947815, -0.025822177529335022, -0.15900295972824097]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.0,0,0,6,0,"[-0.003888749284669757, -0.19718828797340393, -0.08271533995866776, -0.06295058131217957, -0.17627567052841187, -0.06100503355264664, -0.026337549090385437, -0.1636568158864975]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.0500000715255737,0,0,6,0,"[-0.004036812111735344, -0.20311681926250458, -0.0846862643957138, -0.06399299204349518, -0.18150252103805542, -0.06207793205976486, -0.026852920651435852, -0.16831068694591522]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.100000023841858,0,0,6,0,"[-0.004184874705970287, -0.20904532074928284, -0.08665718138217926, -0.06503540277481079, -0.18672937154769897, -0.06315083801746368, -0.027368290349841118, -0.17296454310417175]"
