layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
5,w1,0,6,0,0.0018408894538879395
5,w1,0,7,0,0.9932579398155212
5,w1,1,2,0,0.9933388829231262
5,w1,1,3,0,0.0017316341400146484
5,w1,1,4,0,0.9933623671531677
5,w1,1,5,0,0.0019390583038330078
5,w1,1,6,0,0.9933595061302185
5,w1,1,7,0,0.00027632713317871094
5,w1,2,3,1,0.993259608745575
5,w1,2,4,0,0.00011038780212402344
5,w1,2,5,0,0.9933189749717712
5,w1,2,6,0,0.0017514824867248535
5,w1,2,7,0,0.993327260017395
5,w1,3,4,0,0.9932835698127747
5,w1,3,5,0,0.0021764039993286133
5,w1,3,6,0,0.9932775497436523
5,w1,3,7,0,0.0011833906173706055
5,w1,4,5,1,0.9933430552482605
5,w1,4,6,0,0.001580357551574707
5,w1,4,7,0,0.9933509826660156
5,w1,5,6,0,0.9933394193649292
5,w1,5,7,0,0.0013695955276489258
5,w1,6,7,1,0.9933471083641052
5,w2,0,1,1,1.0001744031906128
5,w2,0,2,0,0.00010573863983154297
5,w2,0,3,0,1.000163197517395
5,w2,0,4,0,4.83393669128418e-05
5,w2,0,5,0,1.0001567602157593
5,w2,0,6,0,0.0003643631935119629
5,w2,0,7,0,1.0001752376556396
5,w2,1,2,0,1.000190258026123
5,w2,1,3,0,0.00035500526428222656
5,w2,1,4,0,1.0001860857009888
5,w2,1,5,0,0.0004297494888305664
5,w2,1,6,0,1.0001872777938843
5,w2,1,7,0,-9.274482727050781e-05
5,w2,2,3,1,1.0001798868179321
5,w2,2,4,0,-0.00012934207916259766
5,w2,2,5,0,1.0001739263534546
5,w2,2,6,0,0.000337064266204834
5,w2,2,7,0,1.0001914501190186
5,w2,3,4,0,1.0001760721206665
5,w2,3,5,0,0.0004950165748596191
5,w2,3,6,0,1.0001764297485352
5,w2,3,7,0,0.00016748905181884766
5,w2,4,5,1,1.0001698732376099
5,w2,4,6,0,0.00028765201568603516
5,w2,4,7,0,1.0001875162124634
5,w2,5,6,0,1.0001705884933472
5,w2,5,7,0,0.00024127960205078125
5,w2,6,7,1,1.0001877546310425
5,w3,0,1,1,0.9996327757835388
5,w3,0,2,0,0.0010712146759033203
5,w3,0,3,0,0.9996053576469421
5,w3,0,4,0,0.0008689165115356445
5,w3,0,5,0,0.9996584057807922
5,w3,0,6,0,0.0020657777786254883
5,w3,0,7,0,0.9996176362037659
5,w3,1,2,0,0.9996472597122192
5,w3,1,3,0,0.002025127410888672
5,w3,1,4,0,0.9996430277824402
5,w3,1,5,0,0.002257823944091797
5,w3,1,6,0,0.9996336102485657
5,w3,1,7,0,0.0003813505172729492
5,w3,2,3,1,0.9996171593666077
5,w3,2,4,0,0.00015085935592651367
5,w3,2,5,0,0.999668538570404
5,w3,2,6,0,0.0019349455833435059
5,w3,2,7,0,0.999626636505127
5,w3,3,4,0,0.9996123313903809
5,w3,3,5,0,0.0025087594985961914
5,w3,3,6,0,0.9996045231819153
5,w3,3,7,0,0.001385509967803955
5,w3,4,5,1,0.9996644854545593
